时间,折数,全量准确率均值,全量准确率标准差,留出验证均值,留出验证标准差,留出验证宏平均F1均值,fold1_full_acc,fold1_val_acc,fold2_full_acc,fold2_val_acc,fold3_full_acc,fold3_val_acc,fold4_full_acc,fold4_val_acc,fold5_full_acc,fold5_val_acc
2026-08-08 16:10:25,5,0.9660,0.0116,0.9067,0.0286,0.9052,0.9800,0.9500,0.9617,0.9000,0.9667,0.8917,0.9467,0.8667,0.9750,0.9250
2026-08-10 15:15:20,5,0.9703,0.0071,0.9117,0.0113,0.9112,0.9633,0.9333,0.9783,0.9083,0.9700,0.9083,0.9617,0.9083,0.9783,0.9000
2026-08-12 14:56:09,5,0.9337,0.0242,0.9200,0.0163,0.8951,0.9200,0.9500,0.9033,0.9083,0.9467,0.9083,0.9733,0.9083,0.9250,0.9250
2026-08-13 14:12:06,5,0.9580,0.0199,0.9200,0.0163,0.9003,0.9683,0.9500,0.9667,0.9083,0.9183,0.9083,0.9667,0.9083,0.9700,0.9250
2026-08-14 14:15:18,5,0.9377,0.0385,0.9200,0.0163,0.8894,0.9767,0.9500,0.8817,0.9083,0.9017,0.9083,0.9683,0.9083,0.9600,0.9250
2026-08-15 15:50:02,5,0.9403,0.0238,0.9200,0.0163,0.8939,0.9150,0.9500,0.9450,0.9083,0.9567,0.9083,0.9117,0.9083,0.9733,0.9250
2026-08-17 13:53:18,5,0.9717,0.0038,0.9217,0.0155,0.9037,0.9750,0.9500,0.9717,0.9083,0.9767,0.9167,0.9683,0.9083,0.9667,0.9250
2026-08-20 15:45:30,5,0.9593,0.0204,0.9217,0.0155,0.9084,0.9783,0.9500,0.9617,0.9083,0.9767,0.9167,0.9583,0.9083,0.9217,0.9250
2026-08-21 15:21:02,5,0.9653,0.0178,0.9233,0.0143,0.9012,0.9783,0.9500,0.9817,0.9167,0.9683,0.9167,0.9667,0.9083,0.9317,0.9250
2026-08-22 14:39:56,5,0.9510,0.0323,0.9233,0.0143,0.8909,0.9667,0.9500,0.9617,0.9167,0.9700,0.9167,0.8867,0.9083,0.9700,0.9250
2026-08-24 14:04:28,5,0.9473,0.0188,0.9233,0.0143,0.9112,0.9750,0.9500,0.9650,0.9167,0.9333,0.9167,0.9300,0.9083,0.9333,0.9250
2026-08-25 13:55:49,5,0.9530,0.0254,0.9233,0.0143,0.9016,0.9767,0.9500,0.9300,0.9167,0.9150,0.9167,0.9717,0.9083,0.9717,0.9250
2026-08-26 14:43:28,5,0.9503,0.0046,0.9233,0.0143,0.8923,0.9517,0.9500,0.9450,0.9167,0.9450,0.9167,0.9567,0.9083,0.9533,0.9250
2026-08-27 13:39:34,5,0.9473,0.0208,0.9233,0.0143,0.9017,0.9533,0.9500,0.9733,0.9167,0.9150,0.9167,0.9617,0.9083,0.9333,0.9250
