时间,全量准确率（拟合检查）,验证准确率,宏平均F1,一级·完好_精确率,一级·完好_召回率,一级·完好_F1,二级·轻微瑕疵_精确率,二级·轻微瑕疵_召回率,二级·轻微瑕疵_F1,三级·明显瑕疵_精确率,三级·明显瑕疵_召回率,三级·明显瑕疵_F1,备注
2026-08-08 11:39:00,0.9267,0.8333,0.8357,0.8571,0.9231,0.8889,0.7778,0.7778,0.7778,0.8788,0.8056,0.8406,🏆 第1名
2026-08-08 14:54:13,0.9200,0.8500,0.8465,0.8889,0.9756,0.9302,0.8788,0.6744,0.7632,0.7857,0.9167,0.8462,🏆 第1名
2026-08-08 15:50:08,0.9700,0.9250,0.9216,0.9362,1.0000,0.9670,0.9697,0.8000,0.8767,0.8750,0.9722,0.9211,🏆 第1名
2026-08-08 18:25:32,0.9717,0.9250,0.9230,1.0000,0.9545,0.9767,0.9189,0.8500,0.8831,0.8537,0.9722,0.9091,🏆 第2名
2026-08-10 09:38:16,0.9200,0.9083,0.9047,1.0000,0.9773,0.9885,0.8919,0.8250,0.8571,0.8250,0.9167,0.8684,🏆 第3名
2026-08-10 10:11:18,0.9733,0.9250,0.9225,0.9773,0.9773,0.9773,0.8974,0.8750,0.8861,0.8919,0.9167,0.9041,🏆 第3名
2026-08-10 11:07:40,0.9783,0.9000,0.8946,0.9778,1.0000,0.9888,0.8500,0.8500,0.8500,0.8571,0.8333,0.8451,跳过
2026-08-10 12:03:19,0.9767,0.9167,0.9137,0.9773,0.9773,0.9773,0.8947,0.8500,0.8718,0.8684,0.9167,0.8919,跳过
2026-08-10 14:10:27,0.9500,0.9083,0.9035,0.9778,1.0000,0.9888,0.8718,0.8500,0.8608,0.8611,0.8611,0.8611,跳过
2026-08-10 15:12:30,0.9700,0.9167,0.9129,0.9167,1.0000,0.9565,0.9688,0.7750,0.8611,0.8750,0.9722,0.9211,跳过
2026-08-11 14:13:20,0.9733,0.9083,0.9062,0.9767,0.9545,0.9655,0.8372,0.9000,0.8675,0.9118,0.8611,0.8857,跳过
2026-08-11 14:42:18,0.9550,0.8833,0.8787,0.9556,0.9773,0.9663,0.8421,0.8000,0.8205,0.8378,0.8611,0.8493,跳过
